Nom,URL,image,Description,Adresse,Téléphone,Accès,Site,Twitter,Facebook,LinkedIn,Meta Title,Meta Description,Meta Title Length Less Than 150,Date de publication
My Cowork : Espace de coworking à Paris (75002),https://www.leportagesalarial.com/coworking/my-cowork-espace-coworking-paris-75002/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/mycowork-espace-coworking-75002-paris.jpg,"My Cowork est un espace de coworking situé quartier Montorgueil, dans le 2ème arrondissement de Paris. Voici sa description.","54 rue Greneta, 75002 Paris",01 85 09 08 29,Métro Sentier (ligne 3),http://mycowork.fr/,https://twitter.com/my_cowork,https://www.facebook.com/mycoworkparis,https://www.linkedin.com/company-beta/9461886/,My Cowork : Espace de coworking à Paris (75002) | Le Journal du portage salarial,"My Cowork est un espace de coworking situé quartier Montorgueil, dans le 2ème arrondissement de Paris. Voici sa description.",TRUE,
Le 10h10 : Espace de coworking à Paris (75003),https://www.leportagesalarial.com/coworking/le-10h10-espace-coworking-paris-75003/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/le-10h10-espace-coworking-saint-martin-75003.jpg,"Le 10h10 est un espace de coworking situé en plein cœur de Paris, à Saint-Martin, dans le 3ème arrondissement. Voici une description de ce café coworking.","210 rue Saint-Martin, 75003 Paris",01 44 49 92 59,"Métro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",http://www.le10h10.com/fr/coworking-cafe/,https://twitter.com/le10h10,https://fr-fr.facebook.com/le10h10/,,Le 10h10 : Espace de coworking à Paris (75003) | Le Journal du portage salarial,"Le 10h10 est un espace de coworking situé en plein cœur de Paris, à Saint-Martin, dans le 3ème arrondissement. Voici une description de ce café coworking.",TRUE,
Hubsy : Espace de coworking à Paris (75003),https://www.leportagesalarial.com/coworking/hubsy-espace-coworking-paris-75003/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/hubsy-espace-coworking-75003.jpg,"Hubsy est un espace ""café et coworking"" situé en plein cœur de Paris, rue Réaumur, dans le 3ème arrondissement. Voici sa description.","41 Rue Réaumur, 75003 Paris",01 43 56 89 80,Métro Arts et Métiers (ligne 3),https://www.hubsy.fr/,,https://www.facebook.com/hubsycafe/,https://www.linkedin.com/company-beta/10352151/,Hubsy : Espace de coworking à Paris (75003) | Le Journal du portage salarial,"Hubsy est un espace ""café et coworking"" situé en plein cœur de Paris, rue Réaumur, dans le 3ème arrondissement. Voici sa description.",TRUE,
The Office : Espace de coworking à Paris (75005),https://www.leportagesalarial.com/coworking/the-office-espace-coworking-paris-75005/,https://www.leportagesalarial.com/wp-content/uploads/2017/06/the-office.jpg,"The Office est un espace de coworking situé dans le 5ème arrondissement de Paris, en plein cœur du quartier latin.","19 rue Claude Bernard, 75 005 Paris",06 60 77 02 41,Métro Censier – Daubenton (Ligne 7) ou Port-Royal (RER B),https://www.theoffice-paris.com/,,,,The Office : Espace de coworking à Paris 5 | Le Journal du portage salarial,"The Office est un espace de coworking situé dans le 5ème arrondissement de Paris, en plein cœur du quartier latin.",TRUE,
Mozaik Coworking : Espace de coworking à Paris (75009),https://www.leportagesalarial.com/coworking/mozaik-coworking-espace-coworking-paris-75009/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/mozaik-coworking-espace-coworking-paris-75009.jpg,"Mozaik Coworking est un espace de coworking situé en plein cœur de Paris, dans le 9ème arrondissement. Voici une présentation de cet espace.","41 Rue de la Chaussée d’Antin, 75009 Paris",06 42 63 79 34,"Métro Chaussée d’Antin la Fayette (Lignes 7 et 9), Trinité d’Estienne d’Orves (Ligne 12), et Haussmann – Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",http://www.mozaik-coworking.com/,https://twitter.com/MozaikCoworking,https://www.facebook.com/MozaikCoworking,,Mozaik Coworking : Espace de coworking à Paris (75009) | Le Journal du portage salarial,"Mozaik Coworking est un espace de coworking situé en plein cœur de Paris, dans le 9ème arrondissement. Voici une présentation de cet espace.",TRUE,
BGE PaRIF : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/coworking/bge-parif-espace-coworking-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/bge-parif-espace-coworking.jpg,"BGE PaRIF est un espace de coworking situé dans le 11ème arrondissement de Paris, tout près de la Place de la République. Voici sa description.","18 Rue du Faubourg du Temple, 75011 Paris",01 43 55 09 48,"Métro République (lignes 3, 5, 8, 9 et 11)",http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,https://twitter.com/BGEPaRIF,https://www.facebook.com/bge.parif,https://www.linkedin.com/company-beta/5233172,BGE PaRIF : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"BGE PaRIF est un espace de coworking situé dans le 11ème arrondissement de Paris, tout près de la Place de la République. Voici sa description.",TRUE,
Cool and Workers : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/coworking/cool-and-workers-espace-coworking-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/cool-and-workers-espace-coworking-paris-75011.jpg,"Cool and Workers est un espace de coworking situé à Bastille, dans le 11ème arrondissement de Paris. Voici sa présentation.","30-34 rue du Chemin Vert 75011, Paris",01 80 88 48 28,Métro Voltaire (Ligne 9) et Bréguet-Sabin (Ligne 5).,https://www.coolandworkers.com/,,https://fr-fr.facebook.com/coolandworkers/,,Cool and Workers : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Cool and Workers est un espace de coworking situé à Bastille, dans le 11ème arrondissement de Paris. Voici sa présentation.",TRUE,
Greenspace Paris : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/coworking/greenspace-paris-espace-coworking-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2017/07/greenspace-paris-espace-coworking.jpg,"Greenspace Paris est un espace de coworking paisible, situé dans le 11ème arrondissement de Paris.","28 rue du Chemin Vert, 75 011 Paris",01 43 38 14 51,"Métro Richard-Lenoir ou Bréguet-Sabin (Ligne 5), St-Ambroise (Ligne 9) ou Chemin Vert (Ligne 8)",http://greenspace-paris.com,,https://www.facebook.com/Greenspace.Paris/,,Greenspace Paris : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Greenspace Paris est un espace de coworking paisible, situé dans le 11ème arrondissement de Paris.",TRUE,
Le Tank : Espace de coworking à Paris (75011),https://www.leportagesalarial.com/coworking/le-tank-espace-coworking-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2017/08/letank-espace-coworking-75011-paris.jpg,"Le Tank est un espace de coworking situé quartier Bastille, à Paris, dans le 11ème arrondissement. Il regroupe notamment des esprits créatifs du numérique.","22 bis rue des Taillandiers, 75011 Paris",01 43 14 71 23,Métro Bréguet-Sabin (ligne 5),https://letank.fr/,https://twitter.com/LeTankParis,https://www.facebook.com/LeTankParis,,Le Tank : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Le Tank est un espace de coworking situé quartier Bastille, à Paris, dans le 11ème arrondissement. Il regroupe notamment des esprits créatifs du numérique.",TRUE,
PLANET COWORKING : Espace de coworking La Popina à Paris (75011),https://www.leportagesalarial.com/coworking/planet-coworking-espace-coworking-paris-75011/,https://www.leportagesalarial.com/wp-content/uploads/2017/11/sans-titre-2-1024x684.jpg,"Planet coworking est un espace de coworking situé dans le 11ème arrondissement de Paris, métro Philippe Auguste. Voici sa description.","119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Métro Rue Saint-Maur (ligne 3),http://www.planet-coworking.com,,https://www.facebook.com/Teamplanetcoworking/,,PLANET COWORKING : Espace de coworking à Paris (75011) | Le Journal du portage salarial,"Planet coworking est un espace de coworking situé dans le 11ème arrondissement de Paris, métro Philippe Auguste. Voici sa description.",TRUE,
